name	root	group	likely	contains	id
Asia			zh-Hans-CN	145,143,030,034,035	142
Central Asia			uz-Latn-UZ	TM,TJ,KG,KZ,UZ	143
Western Asia			ar-Arab-SA	AE,AM,AZ,BH,CY,GE,IL,IQ,JO,KW,LB,OM,PS,QA,SA,SY,TR,YE	145
Europe			ru-Cyrl-RU	154,155,151,039	150
Eastern Europe			ru-Cyrl-RU	BG,BY,CZ,HU,MD,PL,RO,RU,SK,UA	151
Northern Europe			en-Latn-GB	GG,IM,JE,AX,DK,EE,FI,FO,GB,IE,IS,LT,LV,NO,SE,SJ	154
Western Europe			de-Latn-DE	AT,BE,CH,DE,FR,LI,LU,MC,NL	155
Latin America		true	es-Latn-419	013,029,005	419
World	true		en-Latn-US	019,002,150,142,009	001
Africa			en-Latn-NG	015,011,017,014,018	002
North America			en-Latn-US	021,013,029	003
South America			pt-Latn-BR	AR,BO,BR,CL,CO,EC,FK,GF,GY,PE,PY,SR,UY,VE	005
Oceania			en-Latn-AU	053,054,057,061,QO	009
Western Africa			en-Latn-NG	BF,BJ,CI,CV,GH,GM,GN,GW,LR,ML,MR,NE,NG,SH,SL,SN,TG	011
Central America			es-Latn-MX	BZ,CR,GT,HN,MX,NI,PA,SV	013
Eastern Africa			sw-Latn-TZ	BI,DJ,ER,ET,KE,KM,MG,MU,MW,MZ,RE,RW,SC,SO,SS,TZ,UG,YT,ZM,ZW	014
Northern Africa			ar-Arab-EG	DZ,EG,EH,LY,MA,SD,TN,EA,IC	015
Middle Africa			sw-Latn-CD	AO,CD,CF,CG,CM,GA,GQ,ST,TD	017
Southern Africa			en-Latn-ZA	BW,LS,NA,SZ,ZA	018
Americas			en-Latn-US	021,013,029,005	019
Northern America			en-Latn-US	BM,CA,GL,PM,US	021
Caribbean			es-Latn-CU	AG,AI,AW,BB,BL,BQ,BS,CU,CW,DM,DO,GD,GP,HT,JM,KN,KY,LC,MF,MQ,MS,PR,SX,TC,TT,VC,VG,VI	029
Eastern Asia			zh-Hans-CN	CN,HK,JP,KP,KR,MN,MO,TW	030
Southern Asia			hi-Deva-IN	AF,BD,BT,IN,IR,LK,MV,NP,PK	034
Southeast Asia			id-Latn-ID	BN,ID,KH,LA,MM,MY,PH,SG,TH,TL,VN	035
Southern Europe			it-Latn-IT	AD,AL,BA,ES,GI,GR,HR,IT,ME,MK,MT,RS,PT,SI,SM,VA,XK	039
Australasia			en-Latn-AU	AU,NF,NZ	053
Melanesia			en-Latn-PG	FJ,NC,PG,SB,VU	054
Micronesian Region			en-Latn-GU	FM,GU,KI,MH,MP,NR,PW	057
Polynesia			sm-Latn-WS	AS,CK,NU,PF,PN,TK,TO,TV,WF,WS	061
European Union		true	en-Latn-GB	AT,BE,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,SE,SI,SK,BG,RO	EU
Eurozone		true	de-Latn-EZ	AT,BE,CY,DE,EE,ES,FI,FR,GR,IE,IT,LT,LU,LV,MT,NL,PT,SI,SK	EZ
Outlying Oceania			en-Latn-IO	AQ,BV,CC,CX,GS,HM,IO,TF,UM,AC,CP,DG,TA	QO
United Nations		true	en-Latn-US	AD,AE,AF,AG,AL,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BN,BO,BR,BS,BT,BW,BY,BZ,CA,CD,CF,CG,CH,CI,CL,CM,CN,CO,CR,CU,CV,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,ER,ES,ET,FI,FJ,FM,FR,GA,GB,GD,GE,GH,GM,GN,GQ,GR,GT,GW,GY,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MG,MH,MK,ML,MM,MN,MR,MT,MU,MV,MX,MW,MY,MZ,NA,NE,NG,NI,NL,NO,NR,NP,NZ,OM,PA,PE,PG,PH,PK,PL,PT,PW,PY,QA,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SI,SK,SL,SM,SN,SO,SR,SS,ST,SV,SY,SZ,TD,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TZ,UA,UG,US,UY,UZ,VC,VE,VN,VU,WS,YE,ZA,ZM,ZW	UN